HoraID,Hora,Turno
483,08:02:00,Manhã
484,08:03:00,Manhã
485,08:04:00,Manhã
486,08:05:00,Manhã
487,08:06:00,Manhã
488,08:07:00,Manhã
489,08:08:00,Manhã
490,08:09:00,Manhã
491,08:10:00,Manhã
492,08:11:00,Manhã
493,08:12:00,Manhã
494,08:13:00,Manhã
495,08:14:00,Manhã
496,08:15:00,Manhã
497,08:16:00,Manhã
498,08:17:00,Manhã
499,08:18:00,Manhã
500,08:19:00,Manhã
501,08:20:00,Manhã
502,08:21:00,Manhã
503,08:22:00,Manhã
504,08:23:00,Manhã
505,08:24:00,Manhã
506,08:25:00,Manhã
507,08:26:00,Manhã
508,08:27:00,Manhã
509,08:28:00,Manhã
510,08:29:00,Manhã
511,08:30:00,Manhã
512,08:31:00,Manhã
513,08:32:00,Manhã
514,08:33:00,Manhã
515,08:34:00,Manhã
516,08:35:00,Manhã
517,08:36:00,Manhã
518,08:37:00,Manhã
519,08:38:00,Manhã
520,08:39:00,Manhã
521,08:40:00,Manhã
522,08:41:00,Manhã
523,08:42:00,Manhã
524,08:43:00,Manhã
525,08:44:00,Manhã
526,08:45:00,Manhã
527,08:46:00,Manhã
528,08:47:00,Manhã
529,08:48:00,Manhã
530,08:49:00,Manhã
531,08:50:00,Manhã
532,08:51:00,Manhã
533,08:52:00,Manhã
534,08:53:00,Manhã
535,08:54:00,Manhã
536,08:55:00,Manhã
537,08:56:00,Manhã
538,08:57:00,Manhã
539,08:58:00,Manhã
540,08:59:00,Manhã
541,09:00:00,Manhã
542,09:01:00,Manhã
543,09:02:00,Manhã
544,09:03:00,Manhã
545,09:04:00,Manhã
546,09:05:00,Manhã
547,09:06:00,Manhã
548,09:07:00,Manhã
549,09:08:00,Manhã
550,09:09:00,Manhã
551,09:10:00,Manhã
552,09:11:00,Manhã
553,09:12:00,Manhã
554,09:13:00,Manhã
555,09:14:00,Manhã
556,09:15:00,Manhã
557,09:16:00,Manhã
558,09:17:00,Manhã
559,09:18:00,Manhã
560,09:19:00,Manhã
561,09:20:00,Manhã
562,09:21:00,Manhã
563,09:22:00,Manhã
564,09:23:00,Manhã
565,09:24:00,Manhã
566,09:25:00,Manhã
567,09:26:00,Manhã
568,09:27:00,Manhã
569,09:28:00,Manhã
570,09:29:00,Manhã
571,09:30:00,Manhã
572,09:31:00,Manhã
573,09:32:00,Manhã
574,09:33:00,Manhã
575,09:34:00,Manhã
576,09:35:00,Manhã
577,09:36:00,Manhã
578,09:37:00,Manhã
579,09:38:00,Manhã
580,09:39:00,Manhã
581,09:40:00,Manhã
582,09:41:00,Manhã
583,09:42:00,Manhã
584,09:43:00,Manhã
585,09:44:00,Manhã
586,09:45:00,Manhã
587,09:46:00,Manhã
588,09:47:00,Manhã
589,09:48:00,Manhã
590,09:49:00,Manhã
591,09:50:00,Manhã
592,09:51:00,Manhã
593,09:52:00,Manhã
594,09:53:00,Manhã
595,09:54:00,Manhã
596,09:55:00,Manhã
597,09:56:00,Manhã
598,09:57:00,Manhã
599,09:58:00,Manhã
600,09:59:00,Manhã
601,10:00:00,Manhã
602,10:01:00,Manhã
603,10:02:00,Manhã
604,10:03:00,Manhã
605,10:04:00,Manhã
606,10:05:00,Manhã
607,10:06:00,Manhã
608,10:07:00,Manhã
609,10:08:00,Manhã
610,10:09:00,Manhã
611,10:10:00,Manhã
612,10:11:00,Manhã
613,10:12:00,Manhã
614,10:13:00,Manhã
615,10:14:00,Manhã
616,10:15:00,Manhã
617,10:16:00,Manhã
618,10:17:00,Manhã
619,10:18:00,Manhã
620,10:19:00,Manhã
621,10:20:00,Manhã
622,10:21:00,Manhã
623,10:22:00,Manhã
624,10:23:00,Manhã
625,10:24:00,Manhã
626,10:25:00,Manhã
627,10:26:00,Manhã
628,10:27:00,Manhã
629,10:28:00,Manhã
630,10:29:00,Manhã
631,10:30:00,Manhã
632,10:31:00,Manhã
633,10:32:00,Manhã
634,10:33:00,Manhã
635,10:34:00,Manhã
636,10:35:00,Manhã
637,10:36:00,Manhã
638,10:37:00,Manhã
639,10:38:00,Manhã
640,10:39:00,Manhã
641,10:40:00,Manhã
642,10:41:00,Manhã
643,10:42:00,Manhã
644,10:43:00,Manhã
645,10:44:00,Manhã
646,10:45:00,Manhã
647,10:46:00,Manhã
648,10:47:00,Manhã
649,10:48:00,Manhã
650,10:49:00,Manhã
651,10:50:00,Manhã
652,10:51:00,Manhã
653,10:52:00,Manhã
654,10:53:00,Manhã
655,10:54:00,Manhã
656,10:55:00,Manhã
657,10:56:00,Manhã
658,10:57:00,Manhã
659,10:58:00,Manhã
660,10:59:00,Manhã
661,11:00:00,Manhã
662,11:01:00,Manhã
663,11:02:00,Manhã
664,11:03:00,Manhã
665,11:04:00,Manhã
666,11:05:00,Manhã
667,11:06:00,Manhã
668,11:07:00,Manhã
669,11:08:00,Manhã
670,11:09:00,Manhã
671,11:10:00,Manhã
672,11:11:00,Manhã
673,11:12:00,Manhã
674,11:13:00,Manhã
675,11:14:00,Manhã
676,11:15:00,Manhã
677,11:16:00,Manhã
678,11:17:00,Manhã
679,11:18:00,Manhã
680,11:19:00,Manhã
681,11:20:00,Manhã
682,11:21:00,Manhã
683,11:22:00,Manhã
684,11:23:00,Manhã
685,11:24:00,Manhã
686,11:25:00,Manhã
687,11:26:00,Manhã
688,11:27:00,Manhã
689,11:28:00,Manhã
690,11:29:00,Manhã
691,11:30:00,Manhã
692,11:31:00,Manhã
693,11:32:00,Manhã
694,11:33:00,Manhã
695,11:34:00,Manhã
696,11:35:00,Manhã
697,11:36:00,Manhã
698,11:37:00,Manhã
699,11:38:00,Manhã
700,11:39:00,Manhã
701,11:40:00,Manhã
702,11:41:00,Manhã
703,11:42:00,Manhã
704,11:43:00,Manhã
705,11:44:00,Manhã
706,11:45:00,Manhã
707,11:46:00,Manhã
708,11:47:00,Manhã
709,11:48:00,Manhã
710,11:49:00,Manhã
711,11:50:00,Manhã
712,11:51:00,Manhã
713,11:52:00,Manhã
714,11:53:00,Manhã
715,11:54:00,Manhã
716,11:55:00,Manhã
717,11:56:00,Manhã
718,11:57:00,Manhã
719,11:58:00,Manhã
720,11:59:00,Manhã
721,12:00:00,Tarde
722,12:01:00,Tarde
723,12:02:00,Tarde
724,12:03:00,Tarde
725,12:04:00,Tarde
726,12:05:00,Tarde
727,12:06:00,Tarde
728,12:07:00,Tarde
729,12:08:00,Tarde
730,12:09:00,Tarde
731,12:10:00,Tarde
732,12:11:00,Tarde
733,12:12:00,Tarde
734,12:13:00,Tarde
735,12:14:00,Tarde
736,12:15:00,Tarde
737,12:16:00,Tarde
738,12:17:00,Tarde
739,12:18:00,Tarde
740,12:19:00,Tarde
741,12:20:00,Tarde
742,12:21:00,Tarde
743,12:22:00,Tarde
744,12:23:00,Tarde
745,12:24:00,Tarde
746,12:25:00,Tarde
747,12:26:00,Tarde
748,12:27:00,Tarde
749,12:28:00,Tarde
750,12:29:00,Tarde
751,12:30:00,Tarde
752,12:31:00,Tarde
753,12:32:00,Tarde
754,12:33:00,Tarde
755,12:34:00,Tarde
756,12:35:00,Tarde
757,12:36:00,Tarde
758,12:37:00,Tarde
759,12:38:00,Tarde
760,12:39:00,Tarde
761,12:40:00,Tarde
762,12:41:00,Tarde
763,12:42:00,Tarde
764,12:43:00,Tarde
765,12:44:00,Tarde
766,12:45:00,Tarde
767,12:46:00,Tarde
768,12:47:00,Tarde
769,12:48:00,Tarde
770,12:49:00,Tarde
771,12:50:00,Tarde
772,12:51:00,Tarde
773,12:52:00,Tarde
774,12:53:00,Tarde
775,12:54:00,Tarde
776,12:55:00,Tarde
777,12:56:00,Tarde
778,12:57:00,Tarde
779,12:58:00,Tarde
